county_fips,county_name,state,asthma_prev,copd_prev,chd_prev,poor_physical_health_prev,poor_mental_health_prev,depression_prev,uninsured_places_prev
21221,Trigg,KY,,,,,,,
21231,Wayne,KY,,,,,,,
21229,Washington,KY,,,,,,,
42099,Perry,PA,,,,,,,
42121,Venango,PA,,,,,,,
40061,Haskell,OK,12.2,10.8,9.5,17.2,18.8,25.4,11.6
17097,Lake,IL,9.1,5.4,5.4,11.0,14.1,18.1,9.2
20005,Atchison,KS,10.4,7.6,6.9,13.0,17.8,21.7,8.8
02020,Anchorage,AK,10.7,5.3,5.1,12.1,16.1,21.3,9.5
40133,Seminole,OK,12.7,11.4,9.6,18.2,20.3,27.6,12.3
54057,Mineral,WV,11.9,9.8,8.4,16.6,19.7,30.4,7.4
27013,Blue Earth,MN,10.5,5.4,5.5,11.2,17.6,26.6,7.9
31019,Buffalo,NE,9.2,5.8,5.9,11.6,14.7,18.1,9.2
21083,Graves,KY,,,,,,,
51003,Albemarle,VA,10.0,5.2,5.7,11.1,14.3,20.9,6.4
48211,Hemphill,TX,9.4,6.2,6.3,13.0,15.9,21.5,16.4
29205,Shelby,MO,10.8,11.8,9.6,17.6,18.4,25.2,10.0
29033,Carroll,MO,10.6,10.3,8.6,16.4,17.7,24.9,9.3
47045,Dyer,TN,11.4,10.2,8.0,16.8,20.7,30.8,12.5
46099,Minnehaha,SD,9.7,5.6,5.5,11.0,15.7,22.3,8.8
19037,Chickasaw,IA,9.7,8.0,7.9,13.7,15.6,19.0,7.7
36099,Seneca,NY,11.2,8.7,7.8,15.0,16.8,21.2,7.2
27043,Faribault,MN,10.2,7.8,8.4,14.0,15.6,23.7,9.3
31125,Nance,NE,9.5,8.4,7.8,13.6,14.7,17.9,8.7
39099,Mahoning,OH,11.0,9.5,8.4,15.3,17.6,24.5,9.1
28017,Chickasaw,MS,10.4,10.6,8.8,17.0,18.1,19.1,14.0
17065,Hamilton,IL,10.7,10.1,8.7,15.7,17.8,23.3,8.3
48175,Goliad,TX,9.8,8.4,8.5,15.6,16.2,21.5,18.1
21059,Daviess,KY,,,,,,,
28133,Sunflower,MS,10.8,10.1,8.1,16.8,18.9,17.1,16.2
12087,Monroe,FL,8.9,7.2,7.9,14.1,14.4,16.1,13.5
48441,Taylor,TX,10.0,6.3,5.8,13.0,18.4,23.4,15.7
27107,Norman,MN,10.1,7.3,7.9,13.5,15.5,23.9,8.3
47067,Hancock,TN,12.2,17.6,12.1,22.7,23.2,33.1,16.1
05053,Grant,AR,9.9,8.2,7.5,15.0,17.9,24.9,9.3
51143,Pittsylvania,VA,11.3,10.8,9.5,17.4,17.5,22.9,10.2
35049,Santa Fe,NM,9.2,6.3,7.6,14.1,13.1,21.9,13.1
23023,Sagadahoc,ME,12.3,8.1,7.7,13.7,16.2,27.1,7.4
22107,Tensas,LA,11.3,14.6,12.8,20.7,19.7,24.6,11.3
55011,Buffalo,WI,10.7,7.8,8.1,14.4,15.3,23.4,7.8
