county_fips,max_aqi,p90_aqi,median_aqi,days_with_aqi,unhealthy_days,usg_days,pm25_mean,ozone_mean,county_name,state,asthma_prev,copd_prev,chd_prev,poor_physical_health_prev,poor_mental_health_prev,depression_prev,uninsured_places_prev,acs_name,population,eji_score,dc_sqft,dc_count,dc_sqft_per_100k,dc_count_per_100k,dc_count_pct,dc_sqft_per_100k_pct,dc_count_per_100k_pct,max_aqi_pct,p90_aqi_pct,pm25_mean_pct,ozone_mean_pct,unhealthy_days_pct,usg_days_pct,asthma_prev_pct,copd_prev_pct,chd_prev_pct,poor_physical_health_prev_pct,poor_mental_health_prev_pct,depression_prev_pct,uninsured_places_prev_pct,eji_score_pct,data_center_pressure,pollution_exposure,health_vulnerability,social_vulnerability,environmental_justice,dcehpi,dcehpi_rank,priority_group
47095,,,,,,,,,Lake,TN,11.6,14.3,9.8,20.7,23.4,29.2,20.3,,,0.9332,0.0,0.0,,,50.0154,,,,,,,,,88.5149,99.6279,91.5934,99.5264,99.8139,95.6698,95.7713,99.9382,50.0154,,95.791,95.7713,99.9382,78.0311,1.0,High health vulnerability
47067,,,,,,,,,Hancock,TN,12.2,17.6,12.1,22.7,23.2,33.1,16.1,,,0.7963,0.0,0.0,,,50.0154,,,,,,,,,95.5514,100.0,99.594,100.0,99.6955,99.9323,88.9885,93.694,50.0154,,99.1289,88.9885,93.694,77.4068,2.0,High health vulnerability
54047,,,,,,,,,McDowell,WV,13.2,16.5,11.8,22.2,23.8,31.1,13.9,,,0.867,0.0,0.0,,,50.0154,,,,,,,,,98.9682,99.9662,99.2558,99.8478,99.8647,99.2896,80.8356,98.8563,50.0154,,99.532,80.8356,98.8563,77.1424,3.0,High health vulnerability
05003,,,,,,,8.4325,,Ashley,AR,11.0,11.9,10.2,19.1,19.7,25.6,12.9,,,0.8396,0.0,0.0,,,50.0154,,,,,90.6977,,,,68.9953,94.7395,94.7564,96.9215,90.5616,79.9222,75.5074,97.1252,50.0154,90.6977,87.6494,75.5074,97.1252,76.8547,4.0,High health vulnerability
40069,,,,,,,,0.0496,Johnston,OK,12.4,10.8,9.3,17.4,19.8,26.9,11.7,,,0.7942,0.0,0.0,,,50.0154,,,,,,92.9688,,,96.8539,86.7896,84.7936,86.0792,91.475,89.3437,67.1516,93.5703,50.0154,92.9688,89.2225,67.1516,93.5703,76.6246,5.0,High health vulnerability
47151,,,,,,,,,Scott,TN,11.8,13.8,9.6,19.8,23.1,32.7,14.8,,,0.7852,0.0,0.0,,,50.0154,,,,,,,,,91.8133,99.2896,89.3606,98.4608,99.594,99.8985,84.9459,92.7048,50.0154,,96.4028,84.9459,92.7048,75.8272,6.0,High health vulnerability
46102,,,,,,,,,Oglala Lakota,SD,15.0,13.6,9.7,22.5,25.7,24.3,19.1,,,0.7689,0.0,0.0,,,50.0154,,,,,,,,,99.9662,99.0528,90.6461,99.9662,100.0,66.6441,94.7395,90.6337,50.0154,,92.7126,94.7395,90.6337,75.6268,7.0,High health vulnerability
47075,,,,,,,,,Haywood,TN,12.4,12.0,9.4,18.7,20.9,26.7,15.3,,,0.8477,0.0,0.0,,,50.0154,,,,,,,,,96.8539,95.2131,86.316,95.3823,97.0568,88.0582,86.4344,97.6198,50.0154,,93.1467,86.4344,97.6198,75.5956,8.0,High health vulnerability
12047,,,,,,,8.6809,,Hamilton,FL,10.9,12.1,9.9,18.7,19.8,19.1,19.4,,,0.7649,0.0,0.0,,,50.0154,,,,,92.7649,,,,64.4621,95.5514,92.4899,95.3823,91.475,10.3687,95.0609,90.0464,50.0154,92.7649,74.9549,95.0609,90.0464,75.4453,9.0,Lower combined pressure
48405,,,,,,,,,San Augustine,TX,11.5,14.1,11.9,20.1,19.5,24.3,17.5,,,0.8566,0.0,0.0,,,50.0154,,,,,,,,,86.316,99.5264,99.3742,98.816,88.7009,66.6441,92.27,98.2689,50.0154,,89.8963,92.27,98.2689,75.3768,10.0,High health vulnerability
54059,,,,,,,,,Mingo,WV,13.3,16.1,11.5,22.4,24.1,34.0,11.7,,,0.8694,0.0,0.0,,,50.0154,,,,,,,,,99.2219,99.8985,99.002,99.9154,99.8985,99.9662,67.1516,98.949,50.0154,,99.6504,67.1516,98.949,75.3697,11.0,High health vulnerability
22065,,,,,,,,,Madison,LA,12.1,13.5,10.5,20.4,22.5,26.3,13.0,,,0.8754,0.0,0.0,,,50.0154,,,,,,,,,94.7226,98.9344,96.5663,99.0697,99.4249,85.2334,76.2686,99.0726,50.0154,,95.6585,76.2686,99.0726,75.2712,12.0,High health vulnerability
46121,,,,,,,,,Todd,SD,15.3,13.2,9.5,21.8,24.8,24.2,17.6,,,0.764,0.0,0.0,,,50.0154,,,,,,,,,100.0,98.4438,87.8383,99.7632,99.9662,65.6461,92.5744,89.9536,50.0154,,91.9429,92.5744,89.9536,74.9909,13.0,High health vulnerability
47061,,,,,,,,,Grundy,TN,11.7,13.1,9.6,19.2,21.4,31.2,14.1,,,0.7716,0.0,0.0,,,50.0154,,,,,,,,,90.3586,98.3254,89.3606,97.226,98.2747,99.3742,81.9689,90.8501,50.0154,,95.4866,81.9689,90.8501,74.8776,14.0,High health vulnerability
